plot,burn,site,date,decid_prop_canopy,piba_prop_canopy,stand_dominance,time_after_fire,moisture,nonvascular_functionalgroup,avg_org_carbon,ecozone,avg_carbon_stock,latitude,longitude 
ZF44-36A,ZF44,ZF44-36,2015-08-03,0.61111111,0,Deciduous,1,Xeric,Colonizers,1.3,shield,NA,64.104986,-117.23712
ZF44-36B,ZF44,ZF44-36,2015-08-03,0,0,Black Spruce,1,Hydric,Sphagnum,37.1,shield,NA,64.106542,-117.236711
ZF44-36C,ZF44,ZF44-36,2015-08-03,0,0,Black Spruce,1,Mesic,Lichen,7.3,shield,NA,64.106064,-117.240759
ZF44-37A,ZF44,ZF44-37,2015-08-03,0,0.307692309,Black Spruce,1,Xeric,Lichen,1.75,shield,0.75988641,64.106213,-117.260777
ZF44-37B,ZF44,ZF44-37,2015-08-03,0,0,Black Spruce,1,Mesic,Lichen,6,shield,2.152014895,64.106985,-117.262237
ZF44-51A,ZF44,ZF44-51,2015-08-02,0.041666667,0,Mixed,1,Xeric,Colonizers,3.05,shield,2.466792133,64.159773,-117.18685
ZF44-51B,ZF44,ZF44-51,2015-08-02,0.88,0,Deciduous,1,Xeric,Lichen,2.6,shield,NA,64.159395,-117.183239
ZF44-51C,ZF44,ZF44-51,2015-08-02,0,0,Black Spruce,1,Hydric,Pleurocarpous,24,shield,NA,64.159362,-117.193759
ZF44-52A,ZF44,ZF44-52,2015-08-02,0,0,Mixed,1,Mesic,Colonizers,4.75,shield,1.293633997,64.156502,-117.19015
ZF44-52B,ZF44,ZF44-52,2015-08-05,0,0,Black Spruce,1,Hydric,Lichen,28,shield,NA,64.15645,-117.195993
ZF44-52C,ZF44,ZF44-52,2015-08-05,0.642857142,0,Deciduous,1,Xeric,Colonizers,0.65,shield,NA,64.154331,-117.194007
ZF44-54A,ZF44,ZF44-54,2015-08-02,0,0,Black Spruce,1,Mesic,Colonizers,14.3,shield,9.736535389,64.140734,-117.199043
ZF44-54B,ZF44,ZF44-54,2015-08-02,0.333333333,0,Mixed,1,Xeric,Lichen,2.9,shield,2.78762859,64.143217,-117.199638
ZF44-54C,ZF44,ZF44-54,2015-08-05,0,0,Black Spruce,1,Hydric,Colonizers,35.1,shield,25.18335453,64.139637,-117.204392
ZF44-5A,ZF44,ZF44-5,2015-08-03,0,0,Black Spruce,1,Hydric,Sphagnum,41.2,shield,10.9104462,64.102519,-117.252065
ZF44-5B,ZF44,ZF44-5,2015-08-03,0.333333332,0,Mixed,1,Xeric,Lichen,2.25,shield,0.921560089,64.102299,-117.255484
ZF44-5C,ZF44,ZF44-5,2015-08-04,0.302325582,0,Black Spruce,1,Mesic,Lichen,11,shield,2.532535647,64.101344,-117.253992
ZF44-71A,ZF44,ZF44-71,2015-08-05,0.14,0,Black Spruce,1,Mesic,Lichen,3.15,shield,1.666742829,64.118638,-117.197914
